Date time,Wind (MW),PV (MW),CSP (new) (MW),Other renewables (MW),Hydraulic (MW),Pumping turbidity (MW),Thermal (MW),Cogeneration (MW),Combined cycle (MW),Fuel & Gas (MW),Nuclear (MW),No renewable residues (MW),Renewable residues (MW),Import (MW),Export (MW),Demand (MW)
01-07-2050 00:00:00,6539.425226966269,1.3866745716007267,174.97502007897396,431.17900000000003,5705.323,0.0,1923.3179922601894,789.55625,0.0,0.0,0.0,285.0555,94.1675,0,0.0,32172.17383496904
01-07-2050 01:00:00,5838.462836051045,6.555188883930709,113.3043635218839,434.63599999999997,5292.166,0.0,0.0,787.0235,357.4658995051541,0.0,0.0,284.265,94.428,0,0.0,30108.169276276436
01-07-2050 02:00:00,5613.039560527837,0.5777810715003029,109.67667784205507,438.148,4857.934,0.0,0.0,787.17625,0.0,0.0,0.0,283.6995,94.6255,0,0.0,28626.00231577395
01-07-2050 03:00:00,5469.554740432045,6.796806422921744,111.39004542261564,435.832,4542.181,0.0,0.0,787.96875,0.0,0.0,0.0,277.752,94.48899999999999,0,0.0,27845.232636237142
01-07-2050 04:00:00,4824.517010761792,0.8824292728368262,109.91993373312232,434.80300000000005,3863.716,0.0,0.0,792.6252499999999,78.12069528971188,0.0,0.0,271.006,94.428,0,0.0,27300.320089338282
01-07-2050 05:00:00,4402.145368299775,8.603685410159056,114.82735692682665,431.403,3383.837,0.0,0.0,793.3752499999999,487.35218222575713,0.0,0.0,269.698,94.87799999999999,0,0.0,26812.11361984181
01-07-2050 06:00:00,4538.339368287528,68.50382485915408,106.1336029069453,428.134,3012.7209999999995,0.0,0.0,796.9775,463.8703853488478,0.0,0.0,283.265,94.896,0,0.0,26636.42851600764
01-07-2050 07:00:00,4729.895489085518,1713.7826989530256,111.6861830291323,430.394,2969.442,0.0,0.0,801.6725,0.0,0.0,0.0,280.1885,94.1105,0,0.0,26507.465719592354
01-07-2050 08:00:00,4324.115088524183,7242.433205704341,332.11832570841017,431.29699999999997,3507.343,0.0,0.0,799.97825,0.0,0.0,0.0,280.624,93.73100000000001,0,0.0,28146.005584051043
01-07-2050 09:00:00,4116.615387510235,14519.795903458473,2652.6843394020602,434.293,3738.61,0.0,0.0,794.2985000000001,0.0,0.0,0.0,277.0485,92.6055,0,0.0,30544.965567037256
