Power PV,Power wind,Power CSP,Match demand,Minimize cost
37314.84718263014,88565.81106008853,18725.22266724924,33306305.755396985,48.39687862764199
37450.42258657461,88638.01847314627,18653.597972154774,33422224.071470764,48.3690662957399
38747.70653523393,88024.51055866701,18343.021234370204,33491635.143804614,48.245649638564934
37314.84718263014,88728.07349870421,18736.064236720522,33514408.893057123,48.399375602497784
38747.09794765933,88138.21357030507,18341.345583494596,33621976.30954243,48.24389672157186
38918.250799981455,88206.01409788372,18341.345583494596,33859310.90530737,48.23991087652503
38825.833618523575,88439.64283427456,18343.76057591381,34053535.89964153,48.240400783331694
38842.74367837775,88446.71974293157,18343.00578431769,34077458.0536006,48.23993688589835
38747.09794765933,88580.85003287884,18341.345583494596,34146740.91721787,48.24024965073683
38710.23514927014,88721.83636585045,18302.740717119035,34228365.86013389,48.22662566505612
38747.6727261103,88063.95070053708,18341.336771509297,33535571.71994818,48.244666965057505
37337.551280939624,88577.35934305728,18725.22266724924,33341217.63867664,48.39636922658297
37450.42258657461,88577.35934305728,18653.597972154774,33349931.793643158,48.36953937780298
37699.83989521362,88577.35934305728,18668.24591154837,33601516.858186774,48.36994098016287
38747.6727261103,88042.10649597837,18617.0694065463,33881292.612420954,48.339548923252394
38918.94253566994,88431.5409836927,18343.00578431769,34132550.54102948,48.23911914077506
38593.70585771179,88066.86577439951,18985.003848497337,34243496.95318023,48.46577883545018
38919.68412059476,88446.71974293157,18470.024037393854,34322924.999437906,48.28302914675007
41144.02436161444,88091.77112852418,17300.111564742667,34421274.55713146,47.85333462958524
38824.64792343478,88590.2885947019,18725.22266724924,34731101.23553475,48.3681769344104
38841.09733701831,88446.71974293157,18343.00578431769,34075869.13607693,48.23995558995214
38846.34567850086,88582.6198314548,18655.255399023063,34652412.70165639,48.344701694381435
38841.09733701831,88996.89951013599,18343.00578431769,34732777.17300631,48.236440797078416
37337.13915058228,88672.9225471501,18725.22266724924,33454590.96233786,48.395605514218275
38747.6727261103,88063.95070053708,18343.021234370204,33537761.472287726,48.245232072087234
38734.196690281,88079.91960265028,18343.021234370204,33544074.91684895,48.2453295867399
37337.13915058228,88863.25414854991,18725.22266724924,33679806.361416265,48.39367601883051
38825.833618523575,88440.46063892228,18343.832602778446,34054635.065796204,48.240425062650665
38784.59599659538,88754.79995103733,18343.00578431769,34393438.01989669,48.23933827270712
41775.62058456421,87156.04535470835,17993.911968636236,34828821.44992105,48.088542367625855
40784.85338476617,88066.86577439951,18311.726855050943,35388229.41986088,48.20066000604303
41292.25339997768,88066.86577439951,18041.463385839765,35505703.614706025,48.10231758381366
40942.04024659716,88337.27087980487,18504.64999860004,36081258.94015659,48.25439291491517
38747.6727261103,88023.80102624602,18343.021234370204,33490766.28779246,48.24565635277036
38747.09794765933,88206.01409788372,18341.345583494596,33701456.529706545,48.24319135528028
38809.179328022554,88291.01625295362,18347.776650284173,33866918.80618398,48.24325862430648
38825.833618523575,88439.66088567431,18343.833528284944,34053659.1788579,48.2404263910405
38658.95869937702,88580.07060732447,18343.00578431769,34064352.68884609,48.242043779204074
38825.833618523575,88445.05486784087,18719.706040122117,34553534.78358883,48.36769805907932
38747.6727261103,88066.86577439951,18343.04055949865,33541195.654717255,48.245207243215845
37337.13915058228,88795.73919427127,18725.22266724924,33600598.21392051,48.39453232716242
38737.06387949354,88440.46063892228,18343.00578431769,33970060.606598735,48.24151690850737
38747.09794765933,88440.46063892228,18341.345583494596,33977219.16931716,48.240782620894215
38841.09733701831,88440.46063892228,18343.00578431769,34068207.51296757,48.239962529410285
38747.09794765933,88675.32503083913,18215.261312025723,34090883.815658614,48.1966334676917
38747.09794765933,88672.93532926304,18381.882654111687,34314038.43913173,48.25402298929562
39347.82422435455,88675.32503083913,18237.729328774516,34679636.55012413,48.19442158254217
41169.752463626064,88058.17338791452,18347.776650284173,35772202.843211144,48.20454556126384
41158.982402777685,88435.40703288683,18347.776650284173,36190257.542238586,48.196762975517146
41720.33870044881,87859.02970920908,18725.22266724924,36512755.35417337,48.31572113286309
38747.6727261103,88066.86577439951,18350.327516929046,33550706.897024993,48.247659257739684
